,intern_role,company_name,hiring_type,location,job_offer(LPA),duration(months),posted_time,early_applicant,apply_links,stipend_min,stipend_max
0,Social Entrepreneurship,NayePankh Foundation,1.0,Workfromhome,0.0,3.0,0,No,https://internshala.com/internship/detail/work-from-home-part-time-social-entrepreneurship-internship-at-nayepankh-foundation1750659869,1500.0,10000
1,Business Development (Sales),BeingLoop,1.0,"Mumbai,Dahisar",0.0,3.0,14,No,https://internshala.com/internship/detail/business-development-sales-internship-in-dahisar-at-beingloop1749531928,12000.0,22000
2,Business Development (Sales),NayePankh Foundation,1.0,Workfromhome,0.0,3.0,0,No,https://internshala.com/internship/detail/work-from-home-part-time-business-development-sales-internship-at-nayepankh-foundation1750661713,1500.0,10000
3,1 Week Virtual Charity Drive (Fundraising),NayePankh Foundation,1.0,Workfromhome,0.0,3.0,0,No,https://internshala.com/internship/detail/work-from-home-part-time-1-week-virtual-charity-drive-fundraising-internship-at-nayepankh-foundation1750659909,1500.0,10000
4,Graphic Design,Kweesha,1.0,Lucknow,3.6,4.0,1,yes,https://internshala.com/internship/detail/graphic-design-internship-in-lucknow-at-kweesha1750595852,9000.0,18000
5,State Insurance Officer,Axi Workforce Pvt Ltd,1.0,"Hisar,Barsat,Chirao,Agroha,Biana,AryaNagar,Bagla,Kalirawan,Bhaini,Panjlasa,Kabrel,Badhawar,ChuliBagriyan,Ladwi,Asrawan",0.0,6.0,0,yes,https://internshala.com/internship/detail/state-insurance-officer-internship-in-multiple-locations-at-axi-workforce-pvt-ltd1750665544,9000.0,15000
6,Video Content Creator,Naiplus Solution Private Limited,1.0,Ahmedabad,0.0,6.0,7,No,https://internshala.com/internship/detail/part-time-video-content-creator-internship-in-ahmedabad-at-naiplus-solution-private-limited1749629181,2000.0,5000
7,Sales,Propmatrix Platforms Private Limited,1.0,Pune,0.0,6.0,7,No,https://internshala.com/internship/detail/sales-internship-in-pune-at-propmatrix-platforms-private-limited1749561370,8000.0,10000
8,Law/Legal,Movi Ecoserve Private Limited,1.0,Delhi,0.0,6.0,7,No,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-movi-ecoserve-private-limited1750134184,5000.0,7000
9,Business Development (Sales),Jayant Kelkar,1.0,Pune,0.0,6.0,2,No,https://internshala.com/internship/detail/business-development-sales-internship-in-pune-at-jayant-kelkar1750490463,7000.0,13000
10,Backend Development,LiveIntuitions Technologies,1.0,Bangalore,5.4,6.0,0,yes,https://internshala.com/internship/detail/backend-development-internship-in-bangalore-at-liveintuitions-technologies1750743288,15000.0,25000
11,Human Resources (HR),Triceria Solutions,1.0,Delhi,0.0,3.0,0,yes,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-triceria-solutions1750741363,3000.0,5000
12,Marketing,Elythra Edufyi Tech Solutions,1.0,Workfromhome,6.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-marketing-internship-at-elythra-edufyi-tech-solutions1750744412,1000.0,20000
13,Social Media Marketing,Nytarra Naturals,1.0,Noida,5.0,3.0,0,yes,https://internshala.com/internship/detail/social-media-marketing-internship-in-noida-at-nytarra-naturals1750743778,5000.0,10000
14,Customer Service/Customer Support,Prisms,1.0,Pune,0.0,6.0,2,yes,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-pune-at-prisms1750509913,8000.0,12000
15,Video Editing/Making,Scalar Tech Media Private Limited,1.0,Mumbai,3.0,3.0,0,yes,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-scalar-tech-media-private-limited1750739068,10000.0,15000
16,Social Work,Kshitiksha Foundation,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-social-work-internship-at-kshitiksha-foundation1750743579,5000.0,10000
17,Inside Sales,Digital ROI,1.0,Pune,3.0,3.0,0,yes,https://internshala.com/internship/detail/inside-sales-internship-in-pune-at-digital-roi1750742223,10000.0,16000
