,intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
0,Digital Marketing,LeadStrategus,Actively hiring,Bangalore,,,3,3 weeks ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-bangalore-at-leadstrategus1748244836
1,Graphic Design,Kweesha,Actively hiring,Lucknow,₹ 3.6,"9,000 - 18,000",4,1 day ago,Be an early applicant,https://internshala.com/internship/detail/graphic-design-internship-in-lucknow-at-kweesha1750595852
2,Sales,Propmatrix Platforms Private Limited,Actively hiring,Pune,,"8,000 - 10,000",6,1 week ago,,https://internshala.com/internship/detail/sales-internship-in-pune-at-propmatrix-platforms-private-limited1749561370
3,Law/Legal,Movi Ecoserve Private Limited,Actively hiring,Delhi,,"5,000 - 7,000",6,6 days ago,,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-movi-ecoserve-private-limited1750134184
4,Social Media Marketing,Happi Planet,Actively hiring,Mumbai,,,3,2 weeks ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-mumbai-at-happi-planet1749300637
5,Law/Legal,Movi Ecoserve Private Limited,Actively hiring,Mumbai,,"5,000 - 7,000",6,6 days ago,,https://internshala.com/internship/detail/law-legal-internship-in-mumbai-at-movi-ecoserve-private-limited1750133520
6,State Insurance Officer,Axi Workforce Pvt Ltd,Actively hiring,"Hisar,Barsat,Chirao,Agroha,Biana,AryaNagar,Bagla,Kalirawan,Bhaini,Panjlasa,Kabrel,Badhawar,ChuliBagriyan,Ladwi,Asrawan",,"9,000 - 15,000",6,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/state-insurance-officer-internship-in-multiple-locations-at-axi-workforce-pvt-ltd1750665544
7,Music,Raletta Technology Private Limited,Actively hiring,Indore,,"2,000 - 2,500",2,2 days ago,,https://internshala.com/internship/detail/music-internship-in-indore-at-raletta-technology-private-limited1750488998
8,Operations And Strategy,EkStep,Actively hiring,Bangalore,,"16,000 - 20,000",6,3 weeks ago,,https://internshala.com/internship/detail/operations-and-strategy-internship-in-bangalore-at-ekstep1748340111
9,Fundraising Volunteer,Odisha Development Management Programme (ODMP),Actively hiring,Workfromhome,,"500 - 5,000",,Today,,https://internshala.com/internship/detail/work-from-home-part-time-fundraising-volunteer-internship-at-odisha-development-management-programme-odmp1750656168
