intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),early_applicant,posted_date
Video Content Creator,Naiplus Solution Private Limited,yes,Ahmedabad,0.0,5000,6.0,No,2025-06-13
Business Development (Sales),UCTC - Universal Classic Tshirts Company,yes,Pune,0.0,15000,6.0,No,2025-06-13
Search Engine Optimization (SEO),Search Digitally,yes,Mumbai,0.0,6000,6.0,No,2025-06-27
AI Researcher (Non Tech),ABEX Excellence Private Limited,yes,Chennai,0.0,10000,3.0,No,2025-07-01
Field Sales,Orderseva,yes,"Lucknow,Bhopal,Jaipur,Delhi",0.0,18000,4.0,No,2025-06-27
Marketing,Perceived Design,yes,Bangalore,3.0,12000,4.0,yes,2025-07-04
Content Writing,Brightrays,yes,Noida,3.0,12000,3.0,No,2025-07-04
Human Resource Operations,Get Structured Consulting Services OPC Private Limited,yes,Thane,0.0,8000,3.0,No,2025-06-27
Video Editing/Making,Euprime,yes,Workfromhome,0.0,20000,4.0,No,2025-06-13
CA Articleship,Manish Mittal And Company,yes,Noida,0.0,9000,24.0,yes,2025-06-27
Inside Sales,Lime Learn Eduserv Private Limited,yes,Pune,0.0,15000,2.0,yes,2025-07-04
Social Media Marketing,Zenius,yes,Jaipur,0.0,10000,6.0,yes,2025-07-04
Computer Operator,SANNA CAPITAL PRIVATE LIMITED,yes,"Hyderabad,Secundrabad",2.5,26000,2.0,yes,2025-07-04
Data Entry,MJMA IMPEX PRIVATE LIMITED,yes,Hyderabad,0.0,22000,3.0,yes,2025-07-04
Fitness Trainer,Primal Patterns,yes,Chennai,0.0,20000,6.0,yes,2025-07-04
Web Development,FutureYield Capital,yes,Pune,0.0,25000,3.0,yes,2025-07-04
Content Creation,Fitkin,yes,Delhi,0.0,15000,3.0,yes,2025-07-04
Sales and Marketing,Praxis,yes,Chennai,0.0,15000,6.0,yes,2025-07-04
Business Development (Sales),Nexcel Consultancy Private Limited,yes,Dombivli,0.0,10000,3.0,yes,2025-07-04
Computer Operator,Cherag Traders,yes,"Hyderabad,Secundrabad",0.0,26000,3.0,yes,2025-07-04
Graphic Design,AskMyGuru.live,yes,Bangalore,0.0,18000,2.0,yes,2025-07-04
Human Resources (HR),Scalar Tech Media Private Limited,yes,Mumbai,0.0,10000,3.0,yes,2025-07-04
Content Marketing,Talview,yes,Bangalore,0.0,15000,3.0,yes,2025-07-04
Gaming Business Development,Diasimos Private Limited,yes,Ahmedabad,0.0,10000,6.0,yes,2025-07-04
Frontend Developer - NextJS,SaaSBanana Technologies,yes,Noida,4.0,12000,6.0,yes,2025-07-04
Field Sales,Shantinath Detergents Private Limited,yes,"Hooghly,Howrah,Nadia,Murshidabad,South24Parganas,North24Parganas,Midnapore",0.0,15000,2.0,yes,2025-07-04
Digital Marketing,The Affordable Organic Store,yes,Bangalore,0.0,12000,6.0,yes,2025-07-04
Digital Content Creation Trainer,ThinkPro Academy,yes,Bangalore,0.0,3000,6.0,yes,2025-07-04
Content Writing,CATKing Educare,yes,Mumbai,0.0,8000,3.0,yes,2025-07-04
Marketing,CATKing Educare,yes,Mumbai,0.0,5000,3.0,yes,2025-07-04
Quality Analyst,Techdome Solutions Private Limited,yes,"Indore,Hyderabad",0.0,15000,6.0,yes,2025-07-04
Social Media Marketing,Platform 3 Solutions,yes,Bangalore,4.0,17000,4.0,No,2025-07-02
Fundraising Ambassador,Aapka Sahara Foundation,yes,Workfromhome,0.0,2000,3.0,yes,2025-07-04
Investment Analysis,B B Advisory,yes,Workfromhome,1.0,10000,2.0,yes,2025-07-04
Outreach,Jainam Jivika Foundation,yes,"Chennai,Delhi,Gurgaon,Indore,Kolkata,Pune,Hyderabad,Jaipur",0.0,15000,3.0,yes,2025-07-04
Operations,Genesis Training,yes,Bangalore,0.0,8000,6.0,yes,2025-07-04
Customer Care Executive,AppVersal,yes,Noida,0.0,12000,4.0,yes,2025-07-04
Product Design,Internshala,yes,Gurgaon,4.5,18000,6.0,yes,2025-07-04
Business Analytics,ABEX Excellence Private Limited,yes,Chennai,4.5,10000,3.0,No,2025-07-04
Graphic Design And 3D Modelling,HAWC R&D PRIVATE LIMITED,yes,Workfromhome,5.0,1000,3.0,yes,2025-07-04
Market Research,Inspacco,yes,Pune,4.0,10000,3.0,yes,2025-07-04
E-commerce Executive,Estorenet Private Limited,yes,Workfromhome,0.0,6000,2.0,yes,2025-07-04
Client Success & Application Manager,Bridge2job,yes,Workfromhome,0.0,16000,6.0,yes,2025-07-04
Graphic Design,MARS Cosmetics,yes,Delhi,0.0,15000,3.0,No,2025-07-04
Medical Sales,Neuralbits Technologies Private Limited,yes,"Surat,Gopipura",3.6,21000,3.0,yes,2025-07-03
Digital Marketing,Prolegion Pvt. Ltd.,yes,Lucknow,0.0,15000,6.0,yes,2025-07-04
Business Development (Sales),DevTown,yes,Workfromhome,0.0,20000,4.0,yes,2025-07-04
Video Editing/Making,MiTran Global,yes,Chennai,0.0,12000,3.0,yes,2025-07-04
