intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
Video Content Creator,Naiplus Solution Private Limited,Actively hiring,Ahmedabad,,5000.0,6,3 weeks ago,,https://internshala.com/internship/detail/part-time-video-content-creator-internship-in-ahmedabad-at-naiplus-solution-private-limited1749629181
Business Development (Sales),UCTC - Universal Classic Tshirts Company,Actively hiring,Pune,,15000.0,6,3 weeks ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-pune-at-uctc-universal-classic-tshirts-company1749197196
Search Engine Optimization (SEO),Search Digitally,Actively hiring,Mumbai,,6000.0,6,1 week ago,,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-mumbai-at-search-digitally1750911408
AI Researcher (Non Tech),ABEX Excellence Private Limited,Actively hiring,Chennai,,10000.0,3,3 days ago,,https://internshala.com/internship/detail/ai-researcher-non-tech-internship-in-chennai-at-abex-excellence-private-limited1751362457
Field Sales,Orderseva,Actively hiring,"Lucknow,Bhopal,Jaipur,Delhi",,18000.0,4,1 week ago,,https://internshala.com/internship/detail/field-sales-internship-in-multiple-locations-at-orderseva1750757890
Marketing,Perceived Design,Actively hiring,Bangalore,₹ 3,12000.0,4,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/marketing-internship-in-bangalore-at-perceived-design1751615834
Content Writing,Brightrays,Actively hiring,Noida,₹ 3,12000.0,3,Few hours ago,,https://internshala.com/internship/detail/content-writing-internship-in-noida-at-brightrays1751608888
Human Resource Operations,Get Structured Consulting Services OPC Private Limited,Actively hiring,Thane,,8000.0,3,1 week ago,,https://internshala.com/internship/detail/human-resource-operations-internship-in-mumbai-at-get-structured-consulting-services-opc-private-limited1750654310
Video Editing/Making,Euprime,Actively hiring,Workfromhome,,20000.0,4,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-video-editing-making-internship-at-euprime1748577202
CA Articleship,Manish Mittal And Company,Actively hiring,Noida,,9000.0,24,1 week ago,Be an early applicant,https://internshala.com/internship/detail/ca-articleship-internship-in-noida-at-manish-mittal-and-company1750844648
Inside Sales,Lime Learn Eduserv Private Limited,Actively hiring,Pune,,15000.0,2,Just now,Be an early applicant,https://internshala.com/internship/detail/inside-sales-internship-in-pune-at-lime-learn-eduserv-private-limited1751625028
Social Media Marketing,Zenius,Actively hiring,Jaipur,,10000.0,6,Just now,Be an early applicant,https://internshala.com/internship/detail/social-media-marketing-internship-in-jaipur-at-zenius1751626237
Computer Operator,SANNA CAPITAL PRIVATE LIMITED,Actively hiring,"Hyderabad,Secundrabad",₹ 2.5,26000.0,2,Just now,Be an early applicant,https://internshala.com/internship/detail/computer-operator-internship-in-multiple-locations-at-sanna-capital-private-limited1751621518
Data Entry,MJMA IMPEX PRIVATE LIMITED,Actively hiring,Hyderabad,,22000.0,3,Just now,Be an early applicant,https://internshala.com/internship/detail/data-entry-internship-in-hyderabad-at-mjma-impex-private-limited1751621494
Fitness Trainer,Primal Patterns,Actively hiring,Chennai,,20000.0,6,Just now,Be an early applicant,https://internshala.com/internship/detail/fitness-trainer-internship-in-chennai-at-primal-patterns1751620121
Web Development,FutureYield Capital,Actively hiring,Pune,,25000.0,,Just now,Be an early applicant,https://internshala.com/internship/detail/web-development-internship-in-pune-at-futureyield-capital1751623194
Content Creation,Fitkin,Actively hiring,Delhi,,15000.0,3,Just now,Be an early applicant,https://internshala.com/internship/detail/content-creation-internship-in-delhi-at-fitkin1751621165
Sales and Marketing,Praxis,Actively hiring,Chennai,,15000.0,6,Just now,Be an early applicant,https://internshala.com/internship/detail/part-time-sales-and-marketing-internship-in-chennai-at-praxis1751621040
